epoch,loss,prediction_coarse_accuracy,prediction_fine_accuracy,prediction_medium_accuracy,val_loss,val_prediction_coarse_accuracy,val_prediction_fine_accuracy,val_prediction_medium_accuracy
0,0.5160342454910278,0.4748919606208801,0.010763444006443024,0.19370198249816895,0.4248894155025482,0.510699987411499,0.017899999395012856,0.28700000047683716
1,0.3547535240650177,0.5970110297203064,0.040633004158735275,0.3808818757534027,0.31311309337615967,0.6402000188827515,0.05959999933838844,0.4284999966621399
2,0.31207552552223206,0.6680938005447388,0.06676136702299118,0.47871318459510803,0.2764498293399811,0.701200008392334,0.05999999865889549,0.5178999900817871
3,0.2812458574771881,0.7152288556098938,0.08452704548835754,0.5511163473129272,0.24406015872955322,0.7325000166893005,0.10189999639987946,0.5795000195503235
4,0.2547610402107239,0.7541213035583496,0.11529689282178879,0.6078544855117798,0.22567324340343475,0.7641000151634216,0.12200000137090683,0.6263999938964844
5,0.23566219210624695,0.7804497480392456,0.1297215074300766,0.6527288556098938,0.20706327259540558,0.7864999771118164,0.1324000060558319,0.6460000276565552
6,0.21604126691818237,0.8059378862380981,0.14274567365646362,0.6899007558822632,0.19374723732471466,0.79830002784729,0.1412000060081482,0.6596999764442444
7,0.2031223475933075,0.8242437839508057,0.15430937707424164,0.720490574836731,0.18682552874088287,0.8004999756813049,0.14800000190734863,0.6765999794006348
8,0.19305217266082764,0.8397887349128723,0.16265204548835754,0.7453585267066956,0.1820993423461914,0.8167999982833862,0.1550000011920929,0.6913999915122986
9,0.1842798888683319,0.8553537130355835,0.16949424147605896,0.7651248574256897,0.18055540323257446,0.8064000010490417,0.1565999984741211,0.6876999735832214
10,0.17514967918395996,0.8666373491287231,0.18239836394786835,0.785911500453949,0.1763760894536972,0.8130000233650208,0.1665000021457672,0.6958000063896179
11,0.16610132157802582,0.8791013360023499,0.19402208924293518,0.8085787296295166,0.17118752002716064,0.8144000172615051,0.17509999871253967,0.7038000226020813
12,0.15931802988052368,0.8881242275238037,0.20378521084785461,0.8246038556098938,0.16370558738708496,0.8281000256538391,0.1873999983072281,0.7195000052452087
13,0.15334083139896393,0.8968669772148132,0.21148768067359924,0.8382482528686523,0.16129320859909058,0.8295000195503235,0.19269999861717224,0.7268000245094299
14,0.14706343412399292,0.9046695232391357,0.2199103683233261,0.8512523770332336,0.16244426369667053,0.8246999979019165,0.19869999587535858,0.7156999707221985
15,0.14179900288581848,0.9103913307189941,0.22835306823253632,0.8634763360023499,0.1561475545167923,0.8337000012397766,0.20100000500679016,0.7307000160217285
16,0.13669534027576447,0.9155329465866089,0.23511523008346558,0.8735995292663574,0.15169589221477509,0.8361999988555908,0.20160000026226044,0.7343000173568726
17,0.1328321397304535,0.921154797077179,0.24305777251720428,0.8833226561546326,0.1491401344537735,0.8428999781608582,0.2190999984741211,0.743399977684021
18,0.13009212911128998,0.9254361391067505,0.2529009282588959,0.8897446990013123,0.15070374310016632,0.8338000178337097,0.2240999937057495,0.7371000051498413
19,0.1267823427915573,0.9273167252540588,0.2642045319080353,0.8947463035583496,0.15117041766643524,0.8341000080108643,0.22619999945163727,0.7346000075340271
20,0.1248638704419136,0.9298375248908997,0.2750079929828644,0.9002480506896973,0.14796748757362366,0.8398000001907349,0.24400000274181366,0.7405999898910522
21,0.12305005639791489,0.9333986639976501,0.2875720262527466,0.9040092825889587,0.14542360603809357,0.8421000242233276,0.2506999969482422,0.7476999759674072
22,0.12035003304481506,0.9370998740196228,0.29603472352027893,0.9103513360023499,0.1440606713294983,0.847599983215332,0.26080000400543213,0.7522000074386597
23,0.11787411570549011,0.9383602738380432,0.30573782324790955,0.9142325520515442,0.14481185376644135,0.8410999774932861,0.257099986076355,0.7452999949455261
24,0.11680593341588974,0.9412412047386169,0.31996238231658936,0.9176136255264282,0.1418135166168213,0.848800003528595,0.265500009059906,0.7504000067710876
25,0.11454179883003235,0.9423615336418152,0.3273247480392456,0.9195742607116699,0.1412440836429596,0.8432999849319458,0.27459999918937683,0.7491999864578247
26,0.11268571764230728,0.9456626176834106,0.3378280997276306,0.9246758818626404,0.1396201103925705,0.849399983882904,0.2831000089645386,0.7526000142097473
27,0.1114669069647789,0.9444422125816345,0.34675097465515137,0.9249759912490845,0.13965541124343872,0.8475000262260437,0.30000001192092896,0.7540000081062317
28,0.1107286885380745,0.945082426071167,0.35673415660858154,0.9269566535949707,0.14063720405101776,0.8472999930381775,0.30000001192092896,0.7472000122070312
29,0.10929843038320541,0.9477832913398743,0.3660171329975128,0.9298575520515442,0.13652878999710083,0.8499000072479248,0.3102000057697296,0.7591999769210815
30,0.10791735351085663,0.9483634829521179,0.37572023272514343,0.9317781925201416,0.13810747861862183,0.8518999814987183,0.3167000114917755,0.7566999793052673
31,0.10668181627988815,0.9495638608932495,0.38536331057548523,0.932578444480896,0.135060116648674,0.8531000018119812,0.32280001044273376,0.7578999996185303
32,0.1058783084154129,0.9491037130355835,0.39588668942451477,0.933918833732605,0.13350018858909607,0.8529000282287598,0.3305000066757202,0.7616999745368958
33,0.10540516674518585,0.9498839378356934,0.401868611574173,0.9343990087509155,0.13478949666023254,0.8532999753952026,0.3361000120639801,0.7613999843597412
34,0.10395686328411102,0.9508042335510254,0.4098111391067505,0.9364996552467346,0.13365812599658966,0.85589998960495,0.3368000090122223,0.7597000002861023
35,0.10487377643585205,0.9508442878723145,0.41857394576072693,0.9353393316268921,0.1335732340812683,0.8547000288963318,0.3456999957561493,0.7616000175476074
36,0.10264354199171066,0.9517045617103577,0.4285571277141571,0.9375800490379333,0.13287493586540222,0.857699990272522,0.3513999879360199,0.7651000022888184
37,0.1024763211607933,0.9506242275238037,0.4341389238834381,0.9368997812271118,0.13105306029319763,0.861299991607666,0.3596000075340271,0.7659000158309937
38,0.1020035371184349,0.9525448083877563,0.4393605887889862,0.9388604164123535,0.13162223994731903,0.8579000234603882,0.361299991607666,0.7638000249862671
39,0.10163545608520508,0.9523447751998901,0.44058099389076233,0.9387804269790649,0.1315845102071762,0.857699990272522,0.3603000044822693,0.7649999856948853
40,0.10030419379472733,0.9548455476760864,0.4509042799472809,0.941501259803772,0.13019543886184692,0.862500011920929,0.36959999799728394,0.7721999883651733
41,0.10047733783721924,0.9536051750183105,0.4494038224220276,0.9403809309005737,0.13052798807621002,0.8564000129699707,0.3734999895095825,0.7687000036239624
42,0.09938018769025803,0.9548055529594421,0.4547255039215088,0.9425016045570374,0.12988246977329254,0.858299970626831,0.3716000020503998,0.7663999795913696
43,0.09898703545331955,0.9545454382896423,0.4596070647239685,0.9429417252540588,0.12907788157463074,0.8592000007629395,0.3774000108242035,0.7678999900817871
44,0.0992664247751236,0.9544854164123535,0.4635683298110962,0.941541314125061,0.12975165247917175,0.8593999743461609,0.38029998540878296,0.7666000127792358
45,0.09926888346672058,0.9541653394699097,0.4666893482208252,0.9421014785766602,0.1293150633573532,0.8607000112533569,0.38029998540878296,0.7687000036239624
46,0.09850567579269409,0.95466548204422,0.46830984950065613,0.9429017305374146,0.12994354963302612,0.8574000000953674,0.38600000739097595,0.7659000158309937
47,0.09873425960540771,0.9542253613471985,0.4754321277141571,0.9420214295387268,0.12999646365642548,0.8571000099182129,0.3862000107765198,0.7653999924659729
