epoch,loss,prediction_coarse_accuracy,prediction_fine_accuracy,prediction_medium_accuracy,val_loss,val_prediction_coarse_accuracy,val_prediction_fine_accuracy,val_prediction_medium_accuracy
0,0.43156757950782776,0.47923335433006287,0.09170934557914734,0.2693862020969391,0.3683520555496216,0.5663999915122986,0.16259999573230743,0.36570000648498535
1,0.31922975182533264,0.6155569553375244,0.2073463499546051,0.41787371039390564,0.2684537470340729,0.6740999817848206,0.2621000111103058,0.48249998688697815
2,0.2800188362598419,0.6707146167755127,0.2810899615287781,0.495338499546051,0.2372615933418274,0.7041000127792358,0.3246999979019165,0.5376999974250793
3,0.2511586546897888,0.7141885161399841,0.3426096439361572,0.5622799396514893,0.20817875862121582,0.7480000257492065,0.3846000134944916,0.6010000109672546
4,0.22933945059776306,0.748259425163269,0.39512643218040466,0.6137964129447937,0.2069322168827057,0.7441999912261963,0.3968999981880188,0.5964999794960022
5,0.21595825254917145,0.7699063420295715,0.4342389702796936,0.6440660953521729,0.17177417874336243,0.7937999963760376,0.4756999909877777,0.669700026512146
6,0.1980282962322235,0.7967949509620667,0.4762924015522003,0.6864596605300903,0.18442592024803162,0.7646999955177307,0.46459999680519104,0.6510000228881836
7,0.18675130605697632,0.815881073474884,0.5057418346405029,0.7123679518699646,0.16541318595409393,0.8007000088691711,0.5049999952316284,0.6801000237464905
8,0.17596974968910217,0.8314660787582397,0.5311699509620667,0.7359355092048645,0.15689484775066376,0.8148999810218811,0.5260000228881836,0.6995000243186951
9,0.16682404279708862,0.8459106683731079,0.5574783682823181,0.7584826946258545,0.1551109105348587,0.8136000037193298,0.5270000100135803,0.7031999826431274
10,0.15785467624664307,0.8568542003631592,0.5783650875091553,0.7758482694625854,0.15263479948043823,0.8147000074386597,0.5374000072479248,0.70660001039505
11,0.14886723458766937,0.8717389702796936,0.5999119877815247,0.7977553009986877,0.14671243727207184,0.8224999904632568,0.5491999983787537,0.7171000242233276
12,0.14046116173267365,0.8827224969863892,0.6185579299926758,0.8154609203338623,0.14152905344963074,0.8276000022888184,0.5670999884605408,0.7247999906539917
13,0.1353624016046524,0.8915053009986877,0.6386643648147583,0.8297455310821533,0.14403411746025085,0.8210999965667725,0.5620999932289124,0.7239000201225281
14,0.1297832727432251,0.8995678424835205,0.6508082747459412,0.8433498740196228,0.1348557472229004,0.8379999995231628,0.5848000049591064,0.7414000034332275
15,0.12461155652999878,0.9056898355484009,0.6700744032859802,0.8529329299926758,0.13397324085235596,0.8402000069618225,0.5860999822616577,0.7434999942779541
16,0.11912552267313004,0.9117717742919922,0.6822383403778076,0.8657770752906799,0.13432542979717255,0.8396999835968018,0.5958999991416931,0.744700014591217
17,0.11598416417837143,0.9160531163215637,0.6939020752906799,0.875260055065155,0.13493815064430237,0.8389000296592712,0.5928999781608582,0.7396000027656555
18,0.11357911676168442,0.9181337952613831,0.7048855423927307,0.8803216814994812,0.13220185041427612,0.8410000205039978,0.5976999998092651,0.7468000054359436
19,0.1112390011548996,0.922595202922821,0.7151488661766052,0.8887043595314026,0.1339668184518814,0.8396000266075134,0.6043999791145325,0.7501000165939331
20,0.10803647339344025,0.9269766211509705,0.7261123657226562,0.8957266211509705,0.12885655462741852,0.850600004196167,0.605400025844574,0.7540000081062317
21,0.1063852310180664,0.9290972948074341,0.7360555529594421,0.8980473875999451,0.13970448076725006,0.8330000042915344,0.5902000069618225,0.7342000007629395
