Epoch,Coarse_Accuracy,Coarse_LossWeight,Medium_Accuracy,Medium_LossWeight,Fine_Accuracy,Fine_LossWeight
0,0.2330550104379654,0.4179330521935814,0.018172888085246086,0.3618806245687539,0.009086444042623043,0.22018632323766468
1,0.261910617351532,0.40980356099389703,0.024312376976013184,0.366408358582092,0.011542239226400852,0.22378808042401097
2,0.28167974948883057,0.40499286685680813,0.032662082463502884,0.3688886408341316,0.016453830525279045,0.2261184923090603
3,0.2997298538684845,0.4002296170956664,0.038187623023986816,0.37181061080424554,0.021856581792235374,0.22795977210008814
4,0.34712672233581543,0.38797626352099124,0.05955304577946663,0.37800572201988175,0.03425835072994232,0.23401801445912693
5,0.371193528175354,0.38188969672183426,0.06986738741397858,0.3820793947596592,0.046905696392059326,0.23603090851850667
6,0.40962672233581543,0.37430180703850796,0.09847740828990936,0.3865980448072725,0.075147345662117,0.23910014815421954
7,0.44732317328453064,0.3660505362230634,0.12733300030231476,0.39093643832179514,0.1001964658498764,0.24301302545514136
8,0.4834233820438385,0.3567762091109421,0.14783890545368195,0.39808026821529896,0.1295432150363922,0.24514352267375897
9,0.5435903668403625,0.34339554278019946,0.20616404712200165,0.40397865831268753,0.17657171189785004,0.25262579890711295
10,0.598231852054596,0.3282807609136132,0.25552552938461304,0.4114409789398122,0.21881139278411865,0.26027826014657457
11,0.6565569639205933,0.3179165603969087,0.3374263346195221,0.4148397974056122,0.2919940948486328,0.2672436421974791
12,0.709233820438385,0.3085480998872117,0.4214145243167877,0.4152735973781535,0.3617387115955353,0.2761783027346348
13,0.7647347450256348,0.29408444736937545,0.5023329854011536,0.42076627908015785,0.44056975841522217,0.2851492735504667
14,0.8106581568717957,0.2938882078630364,0.6102652549743652,0.4091593612042937,0.5308202505111694,0.29695243093267
15,0.838040292263031,0.2959305761841632,0.6732563972473145,0.4038106375881834,0.5970039367675781,0.30025878622765334
16,0.8832269310951233,0.2781422576896548,0.753806471824646,0.3966328863565568,0.6651522517204285,0.3252248559537883
17,0.8936640620231628,0.3004692312273634,0.7997298836708069,0.38275766480706536,0.7250736951828003,0.31677310396557135
18,0.9095039367675781,0.31668636512052456,0.8427062630653381,0.3723050400363284,0.7820481061935425,0.31100859484314697
19,0.9244843125343323,0.3286869329312225,0.877087414264679,0.3618507026463047,0.8256385326385498,0.3094623644224729
20,0.9360265135765076,0.333584101528695,0.8994351625442505,0.3546821131962437,0.8533890247344971,0.31173378527506124
