epoch,loss,prediction_coarse_accuracy,prediction_fine_accuracy,prediction_medium_accuracy,val_loss,val_prediction_coarse_accuracy,val_prediction_fine_accuracy,val_prediction_medium_accuracy
0,0.5247063040733337,0.4588868319988251,0.008262643590569496,0.20602592825889587,0.460516095161438,0.5024999976158142,0.010300000198185444,0.2694000005722046
1,0.39349719882011414,0.5825064182281494,0.010223271325230598,0.364956796169281,0.3421236574649811,0.6536999940872192,0.008299999870359898,0.43549999594688416
2,0.35056039690971375,0.6514484882354736,0.012083866633474827,0.4582866430282593,0.31649869680404663,0.6775000095367432,0.01730000041425228,0.4894999861717224
3,0.3229002356529236,0.6927416920661926,0.02226712554693222,0.5235275030136108,0.28650081157684326,0.7229999899864197,0.03139999881386757,0.5552999973297119
4,0.30119919776916504,0.7288132309913635,0.03253040835261345,0.5769846439361572,0.26933911442756653,0.7451000213623047,0.034299999475479126,0.590499997138977
5,0.28223323822021484,0.7595230340957642,0.03583146631717682,0.6251400709152222,0.25665080547332764,0.7608000040054321,0.029899999499320984,0.6172999739646912
6,0.2677539885044098,0.7825704216957092,0.018645966425538063,0.659831166267395,0.24713134765625,0.7831000089645386,0.01269999984651804,0.6370000243186951
7,0.25363287329673767,0.8061379790306091,0.010163252241909504,0.693801999092102,0.24292732775211334,0.7809000015258789,0.010499999858438969,0.6467000246047974
8,0.24193115532398224,0.8187820315361023,0.00998319499194622,0.7177696824073792,0.22517989575862885,0.8029000163078308,0.009999999776482582,0.6843000054359436
9,0.23504813015460968,0.8305658102035522,0.014384603127837181,0.736575722694397,0.22790347039699554,0.79830002784729,0.024700000882148743,0.6739000082015991
10,0.22515547275543213,0.8470310568809509,0.029689500108361244,0.7609434723854065,0.22039473056793213,0.8086000084877014,0.03539999946951866,0.6890000104904175
11,0.2156878262758255,0.8612155914306641,0.04363396391272545,0.7820902466773987,0.21617811918258667,0.8102999925613403,0.052000001072883606,0.694100022315979
12,0.20819884538650513,0.8673575520515442,0.0642605647444725,0.7957146167755127,0.2723708748817444,0.7009999752044678,0.0649000033736229,0.5648000240325928
13,0.20470498502254486,0.8711788058280945,0.09146927297115326,0.8035571575164795,0.20952670276165009,0.8116000294685364,0.1006999984383583,0.7046999931335449
14,0.19754581153392792,0.8797215223312378,0.11783770471811295,0.8154809474945068,0.20339339971542358,0.8246999979019165,0.11569999903440475,0.7127000093460083
15,0.1871996372938156,0.8965069055557251,0.14136523008346558,0.8401088118553162,0.20503687858581543,0.814300000667572,0.13420000672340393,0.7077000141143799
16,0.17925728857517242,0.9023287296295166,0.16437259316444397,0.8543934226036072,0.19700370728969574,0.8299999833106995,0.15289999544620514,0.72079998254776
