epoch,loss,prediction_coarse_accuracy,prediction_fine_accuracy,val_loss,val_prediction_coarse_accuracy,val_prediction_fine_accuracy
0,0.10118062049150467,0.8883193731307983,0.2270679622888565,0.06379903107881546,0.9213297963142395,0.49164894223213196
1,0.10010034590959549,0.9236130714416504,0.8009541630744934,0.05446629226207733,0.9318616986274719,0.8686702251434326
2,0.07075421512126923,0.9300599694252014,0.8523251414299011,0.04578983038663864,0.9338297843933105,0.8672340512275696
3,0.06687912344932556,0.9325606822967529,0.8557480573654175,0.04364243149757385,0.9407446980476379,0.8746808767318726
4,0.06531286239624023,0.9350613355636597,0.8630994558334351,0.041440267115831375,0.9410638213157654,0.8779255151748657
5,0.06356867402791977,0.9367462396621704,0.8668771386146545,0.04032045602798462,0.9426595568656921,0.8835106492042542
6,0.06263148784637451,0.9388567805290222,0.8687748312950134,0.04168470576405525,0.9372872114181519,0.881861686706543
7,0.062097690999507904,0.9396105408668518,0.8722066283226013,0.04143451154232025,0.9386702179908752,0.8800531625747681
8,0.061514467000961304,0.9405416250228882,0.8746896386146545,0.03992507606744766,0.9400531649589539,0.887393593788147
9,0.060167115181684494,0.9422176480293274,0.8777933716773987,0.03819131478667259,0.9447872042655945,0.8895213007926941
10,0.0591827929019928,0.9442749619483948,0.8822449445724487,0.038747161626815796,0.9403191208839417,0.8867553472518921
11,0.058941375464200974,0.9445409774780273,0.8820143938064575,0.038884274661540985,0.9427659511566162,0.8911702036857605
12,0.05830478295683861,0.9459421038627625,0.8854019045829773,0.03801967576146126,0.943617045879364,0.8907978534698486
13,0.05675295740365982,0.9484339356422424,0.8890554308891296,0.03841301426291466,0.9429787397384644,0.8919149041175842
14,0.05702129751443863,0.9482211470603943,0.8883814811706543,0.03858247399330139,0.9430851340293884,0.8924999833106995
15,0.05634225532412529,0.9491256475448608,0.8909797072410583,0.03680417314171791,0.9458510875701904,0.8953723311424255
16,0.05546870455145836,0.9502252340316772,0.8937198519706726,0.03741820156574249,0.9449999928474426,0.8970744609832764
17,0.05499286949634552,0.9516529440879822,0.8934715390205383,0.036874838173389435,0.9457446932792664,0.8961701989173889
18,0.05418412387371063,0.9526461362838745,0.8963624238967896,0.039149634540081024,0.9419680833816528,0.8940425515174866
19,0.053553007543087006,0.9538876414299011,0.8977280855178833,0.03825703635811806,0.9456382989883423,0.8956382870674133
20,0.053195588290691376,0.9554395079612732,0.8999361395835876,0.038690630346536636,0.9447340369224548,0.8953191637992859
21,0.0529257133603096,0.9542866945266724,0.9015412330627441,0.03955313563346863,0.9438830018043518,0.8937234282493591
22,0.05205875635147095,0.9561755061149597,0.9024013876914978,0.039165835827589035,0.944361686706543,0.8950532078742981
23,0.05157829821109772,0.9579668045043945,0.904715895652771,0.03988436609506607,0.942180871963501,0.8937765955924988
24,0.05105820298194885,0.95844566822052,0.9058775305747986,0.04023272544145584,0.9430851340293884,0.8946808576583862
25,0.0508209727704525,0.9591107368469238,0.9083782434463501,0.03986823186278343,0.9452659487724304,0.8970744609832764
26,0.05028210207819939,0.959722638130188,0.9078727960586548,0.040362197905778885,0.9447872042655945,0.8972340226173401
27,0.049442872405052185,0.9612389802932739,0.9107459783554077,0.039745669811964035,0.9447340369224548,0.898191511631012
28,0.04924792796373367,0.9614695906639099,0.9108612537384033,0.040514085441827774,0.944361686706543,0.8967553377151489
29,0.04853016883134842,0.9625957608222961,0.9125106334686279,0.0403224378824234,0.9446808695793152,0.8972872495651245
30,0.048464830964803696,0.9638638496398926,0.914213240146637,0.04120132699608803,0.9442021250724792,0.8953723311424255
31,0.04796084389090538,0.9644491076469421,0.9152330160140991,0.042669497430324554,0.9425531625747681,0.8963829874992371
32,0.04779834672808647,0.9649279713630676,0.9171751141548157,0.040886290371418,0.9447340369224548,0.8989361524581909
0,0.1027594804763794,0.8877485990524292,0.18578657507896423,0.10763488709926605,0.8790425658226013,0.1594148874282837
1,0.10805752128362656,0.9234818816184998,0.7709694504737854,0.057459719479084015,0.9279255270957947,0.862500011920929
2,0.07303571701049805,0.9295632243156433,0.8485262989997864,0.04624021053314209,0.9352127909660339,0.8725000023841858
3,0.06646807491779327,0.9345436692237854,0.8578214049339294,0.04251720383763313,0.9373404383659363,0.8734574317932129
4,0.0649755522608757,0.9353693127632141,0.8612659573554993,0.03984787315130234,0.9410106539726257,0.8844149112701416
5,0.06356612592935562,0.937775194644928,0.8655806183815002,0.043551839888095856,0.935585081577301,0.8757978677749634
6,0.06283250451087952,0.9376598000526428,0.8691228628158569,0.041586387902498245,0.9385106563568115,0.881861686706543
7,0.061573050916194916,0.9408025741577148,0.8727272748947144,0.038711145520210266,0.9420744776725769,0.886063814163208
8,0.06093428283929825,0.9413796067237854,0.875763475894928,0.03828031197190285,0.9437233805656433,0.8909574747085571
9,0.06018085777759552,0.9429332613945007,0.8771928548812866,0.038342446088790894,0.9416489601135254,0.8835638165473938
10,0.059632088989019394,0.9439630508422852,0.8807706236839294,0.04183122515678406,0.9360106587409973,0.8797340393066406
11,0.05882491543889046,0.9446644186973572,0.8810902237892151,0.03731655329465866,0.9433510899543762,0.8888829946517944
12,0.05816281586885452,0.9462801814079285,0.8846235871315002,0.03637222573161125,0.9453723430633545,0.8951063752174377
13,0.05735964700579643,0.947540819644928,0.8873135447502136,0.03728145360946655,0.9438297748565674,0.8927659392356873
14,0.05647778511047363,0.9486860632896423,0.8897904753684998,0.03741210326552391,0.944361686706543,0.8932446837425232
