Epoch,Coarse_Accuracy,Coarse_LossWeight,Medium_Accuracy,Medium_LossWeight,Fine_Accuracy,Fine_LossWeight
0,0.1795128434896469,0.3998908467615012,0.011177844367921352,0.3566015640262039,0.003837170545011759,0.24350758921229484
1,0.23356689512729645,0.3861680695315385,0.028194861486554146,0.36230695889598813,0.004671338014304638,0.2515249715724733
2,0.26559892296791077,0.3801533160481721,0.05588922277092934,0.3616128142443012,0.005338672082871199,0.25823386970752676
3,0.31448113918304443,0.3683598058684171,0.08591925352811813,0.36344003639050826,0.004838171415030956,0.26820015774107464
4,0.37003669142723083,0.3500151286832507,0.09409409761428833,0.3724346066854777,0.004004003945738077,0.2775502646312718
5,0.41107773780822754,0.3362959829868652,0.10410410165786743,0.37854423366650813,0.004337671212852001,0.2851597833466266
6,0.45779111981391907,0.3191002047650378,0.11127794533967972,0.3870096491399958,0.004337671212852001,0.2938901460949663
7,0.5003336668014526,0.3031442066117879,0.12212212383747101,0.39409295154879187,0.005005004815757275,0.3027628418394202
8,0.5540540814399719,0.2800063831069494,0.12495829164981842,0.4065461670032246,0.004671338014304638,0.3134474498898259
9,0.6037704348564148,0.2602066126928839,0.15231898427009583,0.41190710862785546,0.0045045046135783195,0.3278862786792606
10,0.6534868478775024,0.23642662688259966,0.16232898831367493,0.422907637315874,0.0045045046135783195,0.3406657358015263
11,0.7173840403556824,0.20333520221359982,0.17684350907802582,0.4382214932588412,0.00667334022000432,0.35844330452755885
12,0.7489155530929565,0.18876707482483118,0.21388055384159088,0.4373109503797243,0.008341674692928791,0.3739219747954446
13,0.7609276175498962,0.18252738385940254,0.22389055788516998,0.4384468612208034,0.010176843963563442,0.379025754919794
14,0.796963632106781,0.16182757674240172,0.2485819160938263,0.443155064111481,0.0118451789021492,0.39501735914611735
15,0.8258258104324341,0.1462543295928235,0.2931264638900757,0.43919969969693,0.015682348981499672,0.4145459707102467
16,0.8400066494941711,0.13847516586445321,0.32115447521209717,0.43474670453629544,0.0168501827865839,0.4267781295992513
17,0.8601935505867004,0.12431765054491573,0.33550217747688293,0.43721447147373904,0.0168501827865839,0.43846787798134523
18,0.8712045550346375,0.11698345688163334,0.35118451714515686,0.43605425680313,0.01885218545794487,0.44696228631523677
19,0.8838838934898376,0.10841507482172524,0.37303969264030457,0.4331443303636141,0.021021021530032158,0.4584405948146607
20,0.8963963985443115,0.09947540221046906,0.39389389753341675,0.43061076876487325,0.024190858006477356,0.4699138290246577
21,0.8957290649414062,0.10102316504030648,0.40924257040023804,0.4235086386874173,0.021521521732211113,0.47546819627227627
22,0.9020687341690063,0.0972085520887278,0.43226560950279236,0.4169881250185988,0.024190858006477356,0.4858033228926734
23,0.9127460718154907,0.08814743936090415,0.4397731125354767,0.4187781748480844,0.0268601942807436,0.4930743857910114
24,0.916583240032196,0.08527112645676128,0.4506172835826874,0.4155459500595441,0.026359692215919495,0.4991829234836947
25,0.9197530746459961,0.08421567950210684,0.4781448245048523,0.40523778159185264,0.030030030757188797,0.5105465389060406
26,0.9237570762634277,0.08097246699467332,0.4883216619491577,0.40209645025191626,0.029529528692364693,0.5169310827534104
27,0.9237570762634277,0.08183604249774283,0.5001668334007263,0.39697716527002286,0.0318651981651783,0.5211867922322343
28,0.931765079498291,0.07453046231767789,0.5103436708450317,0.3957435783222101,0.03303303197026253,0.529725959360112
29,0.9330997467041016,0.07439363235358878,0.5283616781234741,0.38807214054025135,0.036202870309352875,0.5375342271061598
30,0.9315982460975647,0.07586835340760054,0.5295295119285583,0.3861190112757904,0.03286619856953621,0.538012635316609
31,0.9374374151229858,0.07061655021820698,0.5390390157699585,0.3849916943152774,0.03837170451879501,0.5443917554665155
32,0.9349349141120911,0.07318677870550787,0.5383716821670532,0.3842133451989991,0.038204871118068695,0.5425998760954931
33,0.9399399161338806,0.06892781107099484,0.5553887486457825,0.3775586112589688,0.03837170451879501,0.5535135776700364
34,0.9384384155273438,0.07043339802876175,0.553553581237793,0.3779493251671918,0.03870537132024765,0.5516172768040465
35,0.946946918964386,0.06232788747193726,0.5680680871009827,0.3754762468376342,0.04587921127676964,0.5621958656904287
36,0.9384384155273438,0.07146461618676549,0.5689022541046143,0.3702988873203796,0.041207876056432724,0.558236496492855
37,0.9454454183578491,0.06455273149944048,0.5777444243431091,0.36970401381714446,0.04671337828040123,0.5657432546834151
38,0.9446112513542175,0.06500013303984127,0.5735735893249512,0.3702816287706592,0.04054053872823715,0.5647182381894996
39,0.9479479193687439,0.061854981352242266,0.5770770907402039,0.37187174019798086,0.04988321661949158,0.5662732784497768
40,0.9486152529716492,0.0612743496536478,0.5812479257583618,0.3694850217527497,0.048214882612228394,0.5692406285936024
41,0.946946918964386,0.0633278594231349,0.5840840935707092,0.36735428212408455,0.049049049615859985,0.5693178584527805
42,0.9519519805908203,0.05905322536411561,0.6052719354629517,0.35897277830677815,0.05588922277092934,0.5819739963291063
43,0.9466132521629333,0.06501727975213534,0.6022689342498779,0.3584100854760616,0.056056056171655655,0.576572634771803
44,0.9532866477966309,0.057289061195942716,0.5982649326324463,0.36455729493708494,0.060060061514377594,0.5781536438669723
45,0.9514514803886414,0.05983168662872277,0.6051051020622253,0.3601074906997365,0.06156156212091446,0.5800608226715407
46,0.9511178135871887,0.06023431212568837,0.6077744364738464,0.35762231193327876,0.058058056980371475,0.5821433759410329
47,0.951785147190094,0.059512148514304454,0.605438768863678,0.3603583360139067,0.062896229326725,0.5801295154717888
48,0.9447780847549438,0.0682804041581751,0.6144477725028992,0.3527469060177649,0.06639973074197769,0.5789726898240599
49,0.9527861475944519,0.05910442143310119,0.6179512739181519,0.35388704702708135,0.06506506353616714,0.5870085315398175
50,0.9516183137893677,0.060191767327646355,0.6142809391021729,0.3550770262328852,0.062896229326725,0.5847312064394686
51,0.9519519805908203,0.06005431084576277,0.6147814393043518,0.356263458958206,0.06890223920345306,0.5836822301960312
52,0.9524524807929993,0.05954664686132935,0.6151151061058044,0.35666105760753847,0.07057057321071625,0.5837922955311322
53,0.9524524807929993,0.059669851701516424,0.6171171069145203,0.3555399748825284,0.07090424001216888,0.5847901734159551
54,0.9519519805908203,0.060271389027953995,0.6219552755355835,0.3508926495006821,0.06406406313180923,0.5888359614713639
55,0.9529529809951782,0.05921735709588279,0.6221221089363098,0.35193606294294205,0.06723389774560928,0.5888465799611752
56,0.9534534811973572,0.05863850763374069,0.620120108127594,0.3541093444945941,0.07057057321071625,0.5872521478716654
57,0.9551218152046204,0.05684562762740407,0.6227894425392151,0.3535419893347057,0.0719052404165268,0.5896123830378903
58,0.9501168131828308,0.06275406976440291,0.6262929439544678,0.34786792116920195,0.06589923053979874,0.589378009066395
59,0.9537871479988098,0.05888877226026526,0.6299632787704468,0.3489071997206235,0.07340674102306366,0.5922040280191111
60,0.9564564824104309,0.055423999393557924,0.6272939443588257,0.3510234894405002,0.07023690640926361,0.5935525111659419
61,0.9532866477966309,0.05955874071236716,0.6296296119689941,0.34941062571305437,0.07574240863323212,0.5910306335745785
62,0.952285647392273,0.0608323554293135,0.6326326131820679,0.3465625054445099,0.07323990762233734,0.5926051391261766
63,0.9519519805908203,0.06093485812382325,0.6271271109580994,0.3499020607805145,0.0737404078245163,0.5891630810956622
64,0.9572906494140625,0.05541378510292942,0.6428094506263733,0.3429179246080794,0.07540874183177948,0.6016682902889912
65,0.9547881484031677,0.05869876505784826,0.6469802856445312,0.33913374737197355,0.07524190843105316,0.6021674875701781
66,0.9542876482009888,0.058588717334108364,0.6327994465827942,0.34824038201086843,0.07724390923976898,0.5931709006550231
67,0.9526193141937256,0.06129122855301897,0.6478144526481628,0.3371039897165565,0.07273940742015839,0.6016047817304245
