epoch,loss,prediction_coarse_accuracy,prediction_fine_accuracy,prediction_medium_accuracy,val_loss,val_prediction_coarse_accuracy,val_prediction_fine_accuracy,val_prediction_medium_accuracy
0,0.6370360255241394,0.22826620936393738,0.008718074299395084,0.022838899865746498,0.5577430129051208,0.26865673065185547,0.008208955638110638,0.03034825809299946
1,0.5352101922035217,0.26878684759140015,0.011296659708023071,0.0332760326564312,0.547296941280365,0.23532338440418243,0.00920397974550724,0.03034825809299946
2,0.5116473436355591,0.30292239785194397,0.01964636519551277,0.05329076573252678,0.4885832369327545,0.26119402050971985,0.013432836160063744,0.029601989313960075
3,0.4952874481678009,0.34381139278411865,0.02750491164624691,0.06348232179880142,0.4916936159133911,0.31368160247802734,0.012189054861664772,0.041044775396585464
4,0.4728112816810608,0.38163065910339355,0.048993125557899475,0.08361984044313431,0.47876980900764465,0.3599502444267273,0.030597014352679253,0.0656716451048851
5,0.45640379190444946,0.42755404114723206,0.06606090068817139,0.10572200268507004,0.4834342896938324,0.3592039942741394,0.027860697358846664,0.06442786008119583
6,0.4378488063812256,0.45997053384780884,0.0876719057559967,0.12721021473407745,0.451408326625824,0.4089552164077759,0.04029850661754608,0.07636816054582596
7,0.41413381695747375,0.5164538025856018,0.1294204294681549,0.17620334029197693,0.4331825375556946,0.44502487778663635,0.05348258838057518,0.10124377906322479
8,0.3928713798522949,0.5559921264648438,0.16392436623573303,0.2213899791240692,0.4170975387096405,0.4830845892429352,0.07935323566198349,0.13059701025485992
9,0.37280747294425964,0.6059675812721252,0.2129174917936325,0.2826620936393738,0.4196150004863739,0.47636815905570984,0.0835820883512497,0.14179104566574097
10,0.3456164300441742,0.6771856546401978,0.2663310468196869,0.34810903668403625,0.41437578201293945,0.48134326934814453,0.0875621885061264,0.1537313461303711
11,0.31748291850090027,0.7210215926170349,0.33190077543258667,0.42202848196029663,0.40335243940353394,0.46741294860839844,0.10199005156755447,0.1616915464401245
12,0.291332483291626,0.7727161049842834,0.3908398747444153,0.5009823441505432,0.3910802900791168,0.4922885596752167,0.12388059496879578,0.1845771074295044
13,0.261570006608963,0.8224459886550903,0.47347739338874817,0.586321234703064,0.3796378970146179,0.5072139501571655,0.1355721354484558,0.19402985274791718
14,0.23408019542694092,0.8533890247344971,0.5432220101356506,0.6548379063606262,0.3754259943962097,0.5067164301872253,0.13333334028720856,0.20223881304264069
15,0.20796102285385132,0.8887524604797363,0.6154223680496216,0.7281433939933777,0.37540560960769653,0.5206467509269714,0.14203980565071106,0.210447758436203
16,0.1847379356622696,0.8998035192489624,0.681606113910675,0.7870824933052063,0.37913474440574646,0.4907960295677185,0.13457711040973663,0.19502487778663635
17,0.16782763600349426,0.9165029525756836,0.751719057559967,0.8414784073829651,0.3855746388435364,0.5014925599098206,0.14776119589805603,0.20298507809638977
18,0.15324564278125763,0.925589382648468,0.7938359379768372,0.8616158962249756,0.3928145170211792,0.4962686598300934,0.15273632109165192,0.20771144330501556
19,0.14055244624614716,0.9365176558494568,0.8285854458808899,0.8849459886550903,0.3994807302951813,0.506965160369873,0.14676617085933685,0.19651740789413452
20,0.12896068394184113,0.9427799582481384,0.857563853263855,0.9087671637535095,0.4034614562988281,0.5092039704322815,0.14850746095180511,0.20223881304264069
