Epoch,Coarse_Accuracy,Coarse_LossWeight,Fine_Accuracy,Fine_LossWeight
0,0.8896583914756775,0.7053864611064219,0.2845931351184845,0.19461353889357813
1,0.9201812744140625,0.7933635032680236,0.7478805780410767,0.10663649673197646
2,0.9262468218803406,0.8143521780715939,0.817714273929596,0.08564782192840631
3,0.9304146766662598,0.8180021308484036,0.8360793590545654,0.08199786915159643
4,0.9324719905853271,0.8199614970922632,0.8450978994369507,0.08003850290773683
5,0.9360634088516235,0.8196308638271564,0.8526709675788879,0.08036913617284355
6,0.9361964464187622,0.8215842768334973,0.8568920493125916,0.07841572316650268
7,0.9386793971061707,0.8215565002553997,0.8624078035354614,0.07844349974460037
8,0.9401071071624756,0.8208377161361997,0.8642611503601074,0.0791622838638003
9,0.9412776827812195,0.8210101321692911,0.8672318458557129,0.07898986783070884
10,0.9428738355636597,0.8216936206333235,0.8720647692680359,0.07830637936667645
11,0.9438315629959106,0.8217648478871223,0.8743349313735962,0.07823515211287765
12,0.9448159337043762,0.8210658520558051,0.8753281235694885,0.07893414794419486
13,0.9454543590545654,0.8210676528989265,0.8767735362052917,0.07893234710107343
14,0.9485580921173096,0.818942847649454,0.8803472518920898,0.08105715235054606
15,0.9489127993583679,0.8197691211982112,0.8825021386146545,0.08023087880178872
16,0.949081301689148,0.8196213770000331,0.8826528787612915,0.08037862299996694
17,0.9511563777923584,0.8186003341833311,0.8858630061149597,0.08139966581666892
18,0.9526106715202332,0.8176041636911052,0.8877695798873901,0.08239583630889478
19,0.952655017375946,0.8190639822929957,0.8900574445724487,0.08093601770700427
20,0.9540295004844666,0.8169284572595834,0.8901461362838745,0.0830715427404166
21,0.9559981822967529,0.8150915152766469,0.8922832608222961,0.08490848472335304
22,0.9555193185806274,0.8175424221328542,0.8945711255073547,0.08245757786714578
23,0.9557675719261169,0.8165467396466389,0.8937641978263855,0.08345326035336104
24,0.9568317532539368,0.8155298439991796,0.8949258923530579,0.08447015600082032
25,0.9580909609794617,0.8147412287697976,0.8969388604164124,0.0852587712302023
26,0.9587826132774353,0.8144995199629235,0.8983222246170044,0.08550048003707651
27,0.9600152373313904,0.8132569146826474,0.8997765183448792,0.08674308531735264
28,0.9610705375671387,0.8126996323169491,0.9017274379730225,0.08730036768305091
29,0.96076899766922,0.813808240782835,0.9023570418357849,0.0861917592171651
30,0.9621790051460266,0.812161488825989,0.9038734436035156,0.08783851117401081
31,0.9631810188293457,0.8103239694925981,0.904245913028717,0.08967603050740176
32,0.9638993144035339,0.8101892983272305,0.9059573411941528,0.08981070167276954
33,0.9632431268692017,0.8113197443013495,0.9055849313735962,0.08868025569865066
34,0.9648038744926453,0.8091840071157292,0.9071722626686096,0.09081599288427071
35,0.965601921081543,0.8096123909453415,0.9097527861595154,0.09038760905465841
36,0.9665064811706543,0.8078061158288582,0.9101695418357849,0.09219388417114184
37,0.966559648513794,0.8080755447995972,0.9106040596961975,0.09192445520040277
38,0.9665685296058655,0.8078080417783371,0.9103380441665649,0.09219195822166286
39,0.9691135883331299,0.8035631895010487,0.9128919839859009,0.09643681049895134
40,0.9682711362838745,0.8058902170460089,0.9129274487495422,0.09410978295399096
41,0.9693175554275513,0.8042354862295376,0.9141423106193542,0.0957645137704624
42,0.9691667556762695,0.8038450630670396,0.9133265018463135,0.09615493693296027
43,0.9697609543800354,0.8039224986290004,0.9150734543800354,0.09607750137099946
44,0.9700180888175964,0.8039908533568241,0.9158626794815063,0.09600914664317593
45,0.9696722626686096,0.8046565784732042,0.9155522584915161,0.09534342152679579
46,0.9715433716773987,0.8016103541975836,0.9179199934005737,0.09838964580241631
47,0.9712861776351929,0.801851163959112,0.9174056649208069,0.098148836040888
48,0.97141033411026,0.8026319542389088,0.9184963703155518,0.0973680457610913
49,0.9722084403038025,0.8008904567306784,0.9191792011260986,0.09910954326932164
50,0.9720931649208069,0.8024334601099382,0.9202610850334167,0.09756653989006185
51,0.9728469252586365,0.7983985162879803,0.9187979102134705,0.10160148371201967
52,0.9730774760246277,0.7980834035673637,0.9192057847976685,0.10191659643263627
53,0.9744076132774353,0.7968941532208969,0.9221853613853455,0.1031058467791032
54,0.9736716151237488,0.7979914517339265,0.9209083914756775,0.10200854826607356
55,0.97373366355896,0.7986525310821876,0.9216710329055786,0.10134746891781247
56,0.9742746353149414,0.7960318488084166,0.9210414290428162,0.1039681511915835
57,0.9741593599319458,0.7968232980793236,0.9213695526123047,0.10317670192067638
58,0.9745938777923584,0.7973359517734834,0.9231253266334534,0.10266404822651665
59,0.974709153175354,0.7972586737681329,0.923409104347229,0.10274132623186721
60,0.9762876033782959,0.791877527361406,0.9239146113395691,0.10812247263859388
61,0.975666880607605,0.7948556580976271,0.9243579506874084,0.1051443419023729
62,0.9761900305747986,0.7917925238745036,0.9235332608222961,0.10820747612549637
63,0.9758442044258118,0.7937916027295497,0.924047589302063,0.10620839727045032
64,0.9759417772293091,0.79349962842936,0.9241185188293457,0.10650037157064013
65,0.9764028787612915,0.7937570428847275,0.9257768392562866,0.10624295711527243
66,0.976092517375946,0.7917190779056371,0.9231608510017395,0.1082809220943629
67,0.9767664670944214,0.7909701919556541,0.9247393012046814,0.10902980804434587
68,0.9765802621841431,0.7912504727384629,0.9243579506874084,0.10874952726153712
69,0.9771477580070496,0.7907145160877466,0.9257768392562866,0.1092854839122534
70,0.9762964844703674,0.7924967308338908,0.9244377613067627,0.10750326916610917
71,0.9768019318580627,0.7903943930841393,0.9244022965431213,0.1096056069158608
72,0.9770945906639099,0.7906283826082253,0.9255374073982239,0.10937161739177478
73,0.9772896766662598,0.7900803376138686,0.925750195980072,0.10991966238613146
74,0.9777064323425293,0.7897793430159565,0.9268853068351746,0.11022065698404351
75,0.977050244808197,0.7924054263406354,0.926770031452179,0.1075945736593646
76,0.9765625,0.7936598963248566,0.9262024760246277,0.10634010367514357
77,0.9769970178604126,0.7904548599261445,0.9250851273536682,0.1095451400738555
78,0.9769881367683411,0.7911414726204565,0.9255905747413635,0.1088585273795434
79,0.9778926372528076,0.7877514213253787,0.9259719252586365,0.11224857867462142
80,0.9780256748199463,0.7877722723712299,0.9264330267906189,0.11222772762876998
81,0.9783981442451477,0.7865741805627308,0.9267966151237488,0.11342581943726923
82,0.9782030582427979,0.7892437383306888,0.9281179308891296,0.11075626166931125
83,0.9775113463401794,0.7894904092946153,0.9260250926017761,0.1105095907053846
84,0.9789124727249146,0.7862231302838434,0.9282863736152649,0.11377686971615673
85,0.9781409502029419,0.7886002155823192,0.9274351000785828,0.1113997844176808
86,0.9781143665313721,0.7895538857065646,0.9280558228492737,0.1104461142934355
87,0.9784069657325745,0.786653844323572,0.9268853068351746,0.113346155676428
88,0.9779369831085205,0.7895272860320178,0.927452802658081,0.11047271396798214
89,0.9785932302474976,0.7855146745392508,0.9266813397407532,0.11448532546074917
90,0.9787617325782776,0.7852092681020106,0.9270360469818115,0.1147907318979893
91,0.9788503646850586,0.7866868547439605,0.928410530090332,0.11331314525603955
92,0.9783449172973633,0.7884153342320088,0.9279760122299194,0.11158466576799118
93,0.9787794351577759,0.7872873815545198,0.9286056160926819,0.11271261844548017
94,0.9781852960586548,0.7875783387604253,0.9268231987953186,0.1124216612395748
95,0.9790986776351929,0.7865902785503827,0.9291820526123047,0.11340972144961728
96,0.9788947105407715,0.7855582821390876,0.9277454614639282,0.11444171786091246
97,0.978566586971283,0.7875633687894624,0.928091287612915,0.11243663121053758
98,0.9794356822967529,0.7830768562115173,0.9278430342674255,0.11692314378848255
99,0.9794179201126099,0.7848675652018318,0.929049015045166,0.11513243479816823
