Epoch,Coarse_Accuracy,Coarse_LossWeight,Medium_Accuracy,Medium_LossWeight,Fine_Accuracy,Fine_LossWeight
0,0.19102436304092407,0.40537738075697444,0.06406406313180923,0.34702884223102115,0.01484818197786808,0.24759377701200452
1,0.2530864179134369,0.3957350839876502,0.1084417775273323,0.3495258382293565,0.04137470945715904,0.2547390777829934
2,0.308475136756897,0.3895790062870678,0.153987318277359,0.35266308137150393,0.08775442093610764,0.2577579123414283
3,0.3807140588760376,0.38166044648628017,0.2177177220582962,0.3567342463822079,0.15365365147590637,0.26160530713151203
4,0.4599599540233612,0.3754596071348297,0.30830830335617065,0.35583215981436456,0.2293960601091385,0.2687082330508058
5,0.5438771843910217,0.3747438580586377,0.4232565760612488,0.35061521390498596,0.3335001766681671,0.2746409280363764
6,0.6459792852401733,0.36382061503564234,0.5485485196113586,0.3432931116907834,0.4317651093006134,0.29288627327357425
7,0.7495828866958618,0.3566774141327779,0.6848515272140503,0.3321407714113565,0.5643977522850037,0.3111818144558657
8,0.8168168067932129,0.3585221197225293,0.7872872948646545,0.30804852916525394,0.6603270173072815,0.3334293511122168
9,0.8630297183990479,0.3632065978466348,0.8476809859275818,0.2988662532453192,0.7459125518798828,0.3379271489080461
10,0.9109109044075012,0.36975059778705843,0.9109109044075012,0.2735925475885664,0.8286619782447815,0.3566568546243751
11,0.9287620782852173,0.40690785382467975,0.9386052489280701,0.259484519111679,0.883550226688385,0.3336076270636413
12,0.942776083946228,0.38677643415871643,0.9444444179534912,0.2778468713341916,0.9010677337646484,0.3353766945070919
13,0.9519519805908203,0.411112086257066,0.9562896490097046,0.27673521475366525,0.9272605776786804,0.3121526989892688
14,0.9532866477966309,0.43193974142960534,0.9574574828147888,0.2910721753806645,0.9402735829353333,0.2769880831897301
15,0.952285647392273,0.46834363982323496,0.9616283178329468,0.27869027128843693,0.9486152529716492,0.2529660888883281
16,0.9584584832191467,0.4600376372070676,0.9642976522445679,0.29255206575643344,0.955455482006073,0.24741029703649892
17,0.9616283178329468,0.44495421086361486,0.9631298184394836,0.3163553165110415,0.9589589834213257,0.23869047262534362
18,0.965965986251831,0.4442706401914844,0.9681348204612732,0.30778410814819807,0.9621288180351257,0.24794525166031756
19,0.9649649858474731,0.4455640658460003,0.9662996530532837,0.3171302074438036,0.962796151638031,0.23730572671019612
20,0.9661328196525574,0.4763423440439954,0.9726393222808838,0.2847491118844033,0.9661328196525574,0.2389085440716014
21,0.9704704880714417,0.4345687833503094,0.9708041548728943,0.3179206129615834,0.96646648645401,0.24751060368810712
22,0.9668001532554626,0.4389396122564652,0.9673006534576416,0.3198918306165791,0.9636303186416626,0.2411685571269556
23,0.9679679870605469,0.4437162379708798,0.9691358208656311,0.3163524487532644,0.9654654860496521,0.23993131327585593
24,0.9698031544685364,0.4363952585692106,0.970136821269989,0.3193374537202914,0.9662996530532837,0.24426728771049802
25,0.9686353206634521,0.4624546866908337,0.9709709882736206,0.31670576050202576,0.970136821269989,0.22083955280714046
26,0.9644644856452942,0.4645975567755921,0.9689689874649048,0.30019651141589515,0.9641308188438416,0.23520593180851285
27,0.966966986656189,0.4575234470572245,0.970136821269989,0.3060529535065065,0.965965986251831,0.2364235994362691
