,Value
Dataset,CIFAR-10
Model,HD-CapsNet
Accuracy L_0,0.9871
Accuracy L_1,0.9401
Accuracy L_2,0.9097
HarmonicM_Accuracy_k1,0.944569897852469
HarmonicM_Accuracy_k2,0.9782382281294874
HarmonicM_Accuracy_k5,0.9916728580145111
ArithmeticM_Accuracy_k1,0.9456333333333333
ArithmeticM_Accuracy_k2,0.9785333333333334
ArithmeticM_Accuracy_k5,0.9917333333333334
Harmonic_mAP_Score,0.9731807682593838
Arithmetic_mAP_Score,0.9735523984215826
hP,0.9453383333333333
hR,0.9473
hF1,0.9461547619047619
consistency,0.9899
exact_match,0.9058
