epoch,loss,prediction_coarse_accuracy,prediction_fine_accuracy,val_loss,val_prediction_coarse_accuracy,val_prediction_fine_accuracy
0,0.10652156919240952,0.8819513320922852,0.13753551244735718,0.159529909491539,0.7872340679168701,0.02186170220375061
1,0.12200741469860077,0.9219549298286438,0.7053178548812866,0.16847501695156097,0.873563826084137,0.42968085408210754
2,0.07636764645576477,0.9309214949607849,0.8447887301445007,0.046871110796928406,0.9372340440750122,0.868882954120636
3,0.0673806443810463,0.9329456686973572,0.8548828363418579,0.055460669100284576,0.9218617081642151,0.85457444190979
4,0.06522905081510544,0.9356800317764282,0.8594016432762146,0.044482942670583725,0.9355319142341614,0.8745212554931641
5,0.06391245871782303,0.9386630058288574,0.8636984825134277,0.043587930500507355,0.9379255175590515,0.8751595616340637
6,0.06303727626800537,0.9393554925918579,0.8679598569869995,0.0384141243994236,0.9438830018043518,0.8848935961723328
7,0.06199846789240837,0.9397105574607849,0.8707741498947144,0.039088159799575806,0.9413830041885376,0.8810106515884399
8,0.06117931380867958,0.9409890174865723,0.8727272748947144,0.04295256361365318,0.9399468302726746,0.8807446956634521
9,0.06001704931259155,0.9431019425392151,0.8757990002632141,0.04501340165734291,0.9333510398864746,0.876329779624939
10,0.0599588118493557,0.9423916935920715,0.8774858117103577,0.038224607706069946,0.9444149136543274,0.8869680762290955
11,0.05866466835141182,0.9442027807235718,0.8800692558288574,0.037969477474689484,0.9438297748565674,0.891595721244812
12,0.05821232497692108,0.9456587433815002,0.8811079263687134,0.03920497000217438,0.9445744752883911,0.8876595497131348
13,0.05771011859178543,0.9463334679603577,0.8834517002105713,0.036804813891649246,0.945053219795227,0.8946808576583862
14,0.05695253238081932,0.9483753442764282,0.8864080309867859,0.03908001631498337,0.9422340393066406,0.8893616795539856
15,0.056688591837882996,0.9490944743156433,0.8871182799339294,0.03918157145380974,0.9399999976158142,0.8903723359107971
16,0.05554507300257683,0.9507901072502136,0.8895152807235718,0.03962321579456329,0.9411702156066895,0.8917021155357361
17,0.0553845651447773,0.9502219557762146,0.8910777568817139,0.03852850943803787,0.9440957307815552,0.8928723335266113
18,0.05467613413929939,0.9516246318817139,0.8919744491577148,0.03855602443218231,0.9437766075134277,0.8926063776016235
19,0.05414425954222679,0.9524946808815002,0.8947532176971436,0.037009742110967636,0.9462766051292419,0.8963829874992371
20,0.05380560830235481,0.9543324112892151,0.8965021371841431,0.03742881119251251,0.9463297724723816,0.897606372833252
21,0.053434427827596664,0.9547585248947144,0.8961558938026428,0.038788359612226486,0.9434574246406555,0.89542555809021
22,0.05291144177317619,0.9561612010002136,0.8965908885002136,0.039640482515096664,0.9434042572975159,0.8919149041175842
23,0.052770860493183136,0.9564808011054993,0.8991566300392151,0.039528049528598785,0.9437233805656433,0.8945212960243225
24,0.05215321108698845,0.9570667743682861,0.9006569385528564,0.03816918283700943,0.9453723430633545,0.895797848701477
25,0.05105659365653992,0.9581143260002136,0.902636706829071,0.03964544087648392,0.9430851340293884,0.8938297629356384
26,0.05056736618280411,0.9595525860786438,0.9039772748947144,0.041236162185668945,0.9412233829498291,0.8924999833106995
27,0.050366710871458054,0.9604225754737854,0.904980480670929,0.03867146000266075,0.945797860622406,0.8984574675559998
28,0.05033213272690773,0.9605912566184998,0.9060191512107849,0.040856603533029556,0.9413830041885376,0.8942553400993347
29,0.04901910945773125,0.9625177383422852,0.9086026549339294,0.041017793118953705,0.9427659511566162,0.8939361572265625
30,0.04902661591768265,0.9631569385528564,0.9092507362365723,0.04176359251141548,0.943617045879364,0.8938829898834229
31,0.049238357692956924,0.9642223119735718,0.9107066988945007,0.04133469983935356,0.9437766075134277,0.8955318927764893
32,0.04792674258351326,0.965545117855072,0.9127308130264282,0.04181886464357376,0.9431383013725281,0.8945744633674622
33,0.04825679212808609,0.9652698636054993,0.9128285050392151,0.042522817850112915,0.9423936009407043,0.8961701989173889
34,0.04738225042819977,0.9659801125526428,0.9151899814605713,0.043071430176496506,0.941702127456665,0.8940957188606262
35,0.046734098345041275,0.9675958752632141,0.9163973927497864,0.041828129440546036,0.9432446956634521,0.8945744633674622
36,0.046585436910390854,0.9676846861839294,0.9153941869735718,0.043148286640644073,0.9423404335975647,0.8959042429924011
37,0.04615800082683563,0.9692471623420715,0.9184747934341431,0.043717946857213974,0.9404787421226501,0.892180860042572
