epoch,loss,prediction_coarse_accuracy,prediction_fine_accuracy,prediction_medium_accuracy,val_loss,val_prediction_coarse_accuracy,val_prediction_fine_accuracy,val_prediction_medium_accuracy
0,0.4605819284915924,0.4707706570625305,0.0931498110294342,0.2743077874183655,0.3899071216583252,0.5771999955177307,0.16030000150203705,0.3643999993801117
1,0.3529403507709503,0.6083146333694458,0.21092750132083893,0.42321541905403137,0.2933383584022522,0.6771000027656555,0.2759000062942505,0.49869999289512634
2,0.30417025089263916,0.6780169606208801,0.2942141592502594,0.5155049562454224,0.25216183066368103,0.7110000252723694,0.3562000095844269,0.5709999799728394
3,0.2704820930957794,0.7280329465866089,0.3635563254356384,0.5871878862380981,0.23934541642665863,0.7401000261306763,0.375,0.5852000117301941
4,0.24615642428398132,0.7640644907951355,0.41827383637428284,0.6359434723854065,0.20642675459384918,0.7778000235557556,0.4480000138282776,0.6477000117301941
5,0.22548659145832062,0.7919334173202515,0.4652288854122162,0.6813780665397644,0.19547420740127563,0.7930999994277954,0.477400004863739,0.6621000170707703
6,0.21103882789611816,0.8111795783042908,0.5018606185913086,0.7098071575164795,0.17987306416034698,0.8109999895095825,0.5074999928474426,0.6917999982833862
7,0.19754481315612793,0.8313460350036621,0.5320702791213989,0.74129718542099,0.18396711349487305,0.7978000044822693,0.5175999999046326,0.6865000128746033
8,0.1861540973186493,0.8473711609840393,0.5610395073890686,0.765625,0.17664888501167297,0.8083000183105469,0.5256999731063843,0.7009000182151794
9,0.17566189169883728,0.8599551916122437,0.5851472616195679,0.786171555519104,0.16682736575603485,0.8230000138282776,0.5472000241279602,0.7182000279426575
10,0.16670426726341248,0.8737795948982239,0.6119357943534851,0.80711829662323,0.16166307032108307,0.8277000188827515,0.5640000104904175,0.7254999876022339
11,0.15913838148117065,0.882122278213501,0.6273807883262634,0.8220230340957642,0.15704038739204407,0.8355000019073486,0.5720999836921692,0.7369999885559082
12,0.15119719505310059,0.8925656080245972,0.6474671959877014,0.8416092991828918,0.1566178947687149,0.8310999870300293,0.5760999917984009,0.7343999743461609
13,0.14347191154956818,0.900048017501831,0.6675936579704285,0.8551536202430725,0.1526007056236267,0.8371000289916992,0.5857999920845032,0.7468000054359436
14,0.14033359289169312,0.9052897095680237,0.6797975301742554,0.8629961609840393,0.15302185714244843,0.8334000110626221,0.5934000015258789,0.7483000159263611
15,0.13504436612129211,0.9141525030136108,0.6937820315361023,0.8744198083877563,0.15227694809436798,0.838699996471405,0.5989999771118164,0.7498999834060669
16,0.12918688356876373,0.9195142388343811,0.7079665660858154,0.8845230340957642,0.1479964554309845,0.8447999954223633,0.6065999865531921,0.7563999891281128
17,0.12596826255321503,0.922135055065155,0.7209706902503967,0.8913052082061768,0.146265909075737,0.8452000021934509,0.6134999990463257,0.7595000267028809
18,0.12376520037651062,0.9258362650871277,0.7307138442993164,0.8976272344589233,0.1481620818376541,0.8432999849319458,0.6097000241279602,0.7565000057220459
19,0.12038346379995346,0.9308178424835205,0.7401968836784363,0.9034491181373596,0.14720481634140015,0.8446000218391418,0.611299991607666,0.7587000131607056
20,0.11655271053314209,0.933298647403717,0.7526408433914185,0.9092709422111511,0.14643947780132294,0.8489999771118164,0.6154999732971191,0.7627999782562256
21,0.11577872186899185,0.9344590306282043,0.7578625082969666,0.9124919772148132,0.14539164304733276,0.8492000102996826,0.6276000142097473,0.7627999782562256
22,0.11239717900753021,0.9383402466773987,0.7681857943534851,0.9174935817718506,0.14726880192756653,0.8482999801635742,0.6219000220298767,0.7608000040054321
23,0.11076395213603973,0.9399007558822632,0.7779889702796936,0.921614944934845,0.1463201642036438,0.84579998254776,0.6255999803543091,0.7621999979019165
24,0.10964485257863998,0.9410611391067505,0.7818502187728882,0.9229953289031982,0.1458130180835724,0.8446999788284302,0.6258999705314636,0.7621999979019165
25,0.10754156857728958,0.9436619877815247,0.7895926833152771,0.9260163307189941,0.14310574531555176,0.8564000129699707,0.6326000094413757,0.766700029373169
26,0.10697988420724869,0.9442021250724792,0.7947143316268921,0.9259763360023499,0.14439426362514496,0.8536999821662903,0.6283000111579895,0.765999972820282
27,0.10325009375810623,0.9488436579704285,0.8055577874183655,0.9326784610748291,0.14172837138175964,0.8550999760627747,0.6358000040054321,0.7717000246047974
28,0.10296611487865448,0.9479033350944519,0.8089988827705383,0.9322983622550964,0.141886904835701,0.8517000079154968,0.6334999799728394,0.7727000117301941
29,0.10335268080234528,0.9483835101127625,0.8182618618011475,0.933458685874939,0.13996469974517822,0.8590999841690063,0.6385999917984009,0.7770000100135803
