,Value
Dataset,CIFAR-100
Model,HD-CapsNet
Accuracy L_0,0.8623
Accuracy L_1,0.7753
Accuracy L_2,0.4182
HarmonicM_Accuracy_k1,0.6197434291830124
HarmonicM_Accuracy_k2,0.721001260126795
HarmonicM_Accuracy_k5,0.8074149434635671
ArithmeticM_Accuracy_k1,0.6852666666666667
ArithmeticM_Accuracy_k2,0.7724333333333333
ArithmeticM_Accuracy_k5,0.8437666666666667
Harmonic_mAP_Score,0.6330410082303403
Arithmetic_mAP_Score,0.7185718642495242
hP,0.6839866666666666
hR,0.6961333333333332
hF1,0.6887805555555555
consistency,0.9192
exact_match,0.4097
