epoch,loss,prediction_coarse_accuracy,prediction_fine_accuracy,val_loss,val_prediction_coarse_accuracy,val_prediction_fine_accuracy
0,0.0993540808558464,0.8888691663742065,0.2896300256252289,0.05525422841310501,0.9275531768798828,0.7184574604034424
1,0.09231369197368622,0.9226553440093994,0.8211106061935425,0.05161646753549576,0.9343085289001465,0.8684574365615845
2,0.0698133036494255,0.928623378276825,0.8520679473876953,0.04320089891552925,0.9390425682067871,0.8799999952316284
3,0.06734828650951385,0.9316561222076416,0.8550386428833008,0.042839474976062775,0.9364893436431885,0.8815957307815552
4,0.06541315466165543,0.9348307847976685,0.8620264530181885,0.045770518481731415,0.9306914806365967,0.8797340393066406
5,0.06431116908788681,0.9366309642791748,0.8674535155296326,0.03964110091328621,0.9401595592498779,0.8823404312133789
6,0.06304431706666946,0.9380941390991211,0.8691206574440002,0.03882604092359543,0.9423404335975647,0.8857978582382202
7,0.06213338300585747,0.9395484328269958,0.8729249238967896,0.03914666175842285,0.9406914710998535,0.8888829946517944
8,0.06104147806763649,0.9415171146392822,0.8764188289642334,0.0376354455947876,0.944946825504303,0.8918616771697998
9,0.06091214343905449,0.942013680934906,0.8770484328269958,0.038299310952425,0.9445212483406067,0.8909042477607727
10,0.0598025918006897,0.9435921311378479,0.8793895244598389,0.037686336785554886,0.9453723430633545,0.8918616771697998
11,0.05955664440989494,0.9448957443237305,0.8828125,0.036831557750701904,0.9445212483406067,0.8917021155357361
12,0.05842269957065582,0.9462347626686096,0.8846126794815063,0.037223365157842636,0.9460638165473938,0.8924468159675598
13,0.057449307292699814,0.9475560188293457,0.8868473172187805,0.03730747848749161,0.944946825504303,0.8955851197242737
14,0.056756991893053055,0.9480881094932556,0.8898446559906006,0.03828095644712448,0.943031907081604,0.891595721244812
15,0.05622509866952896,0.9497374892234802,0.8917600512504578,0.03875404968857765,0.9435638189315796,0.8924468159675598
16,0.05552123486995697,0.950952410697937,0.8926911950111389,0.03701663389801979,0.9449999928474426,0.8960106372833252
17,0.055202748626470566,0.9515110850334167,0.8940213322639465,0.03751933574676514,0.9447340369224548,0.8961170315742493
18,0.05480023846030235,0.9519810676574707,0.8961052894592285,0.03743873909115791,0.9448404312133789,0.8986701965332031
19,0.053902968764305115,0.9540117979049683,0.898286759853363,0.038669243454933167,0.9439893364906311,0.895797848701477
20,0.05354906618595123,0.9546059370040894,0.900352954864502,0.03725913539528847,0.9460638165473938,0.8984042406082153
21,0.05292409658432007,0.9554749727249146,0.9010889530181885,0.0375947579741478,0.9459042549133301,0.8978723287582397
22,0.05213269591331482,0.956273078918457,0.9031817317008972,0.037335194647312164,0.9464893341064453,0.8988297581672668
23,0.052508365362882614,0.9562198519706726,0.904059648513794,0.037698328495025635,0.9459042549133301,0.8986701965332031
24,0.05135336518287659,0.9582062363624573,0.9057445526123047,0.03781108930706978,0.9469149112701416,0.8995212912559509
25,0.05114308372139931,0.9581796526908875,0.9079614877700806,0.03850582614541054,0.944468080997467,0.8969680666923523
26,0.05071781203150749,0.9590752720832825,0.9083960056304932,0.03751812130212784,0.9465425610542297,0.8996808528900146
27,0.050179388374090195,0.9612389802932739,0.9105508923530579,0.03897184133529663,0.9445212483406067,0.898563802242279
28,0.049620334059000015,0.9619572758674622,0.9110385775566101,0.03986407071352005,0.9442552924156189,0.897712767124176
29,0.04936432093381882,0.9626046419143677,0.9118366837501526,0.03865104168653488,0.9460106492042542,0.8989361524581909
30,0.04907966032624245,0.9635446071624756,0.9130781888961792,0.039646703749895096,0.9452659487724304,0.8984574675559998
31,0.048786625266075134,0.9632431268692017,0.9139472246170044,0.04026033729314804,0.9445744752883911,0.8986170291900635
32,0.04854465276002884,0.964706301689148,0.9155700206756592,0.04026218503713608,0.9458510875701904,0.9001595973968506
33,0.04773608595132828,0.9650610089302063,0.9153926372528076,0.04100610315799713,0.9447872042655945,0.8978191614151001
34,0.04740624874830246,0.9657349586486816,0.9179820418357849,0.04060053080320358,0.9437766075134277,0.8973404169082642
35,0.046952441334724426,0.9673134088516235,0.9181239604949951,0.040819138288497925,0.944946825504303,0.8965957164764404
36,0.0471247062087059,0.9676060676574707,0.9201369285583496,0.04128126800060272,0.9440425634384155,0.8963297605514526
