epoch,loss,prediction_coarse_accuracy,prediction_fine_accuracy,prediction_medium_accuracy,val_loss,val_prediction_coarse_accuracy,val_prediction_fine_accuracy,val_prediction_medium_accuracy
0,0.33765488862991333,0.8332666158676147,0.20892685651779175,0.3926456570625305,0.2558155655860901,0.8705999851226807,0.3179999887943268,0.4855000078678131
1,0.23714567720890045,0.8555538058280945,0.34096911549568176,0.49277767539024353,0.21011757850646973,0.8734999895095825,0.375,0.5382999777793884
2,0.22080737352371216,0.8606353998184204,0.39712709188461304,0.5497759580612183,0.1993018537759781,0.888700008392334,0.39149999618530273,0.5555999875068665
3,0.20885545015335083,0.8783010840415955,0.4350992441177368,0.5862075686454773,0.17775051295757294,0.9135000109672546,0.46380001306533813,0.6168000102043152
4,0.1959136426448822,0.8721590638160706,0.4715508818626404,0.6300816535949707,0.1528344750404358,0.9158999919891357,0.5393999814987183,0.6894000172615051
5,0.19077345728874207,0.8888044357299805,0.4937579929828644,0.6471871137619019,0.15477488934993744,0.9074000120162964,0.5508999824523926,0.6898000240325928
6,0.18085861206054688,0.8968069553375244,0.5197663307189941,0.6680737733840942,0.14422307908535004,0.9318000078201294,0.5717999935150146,0.7096999883651733
7,0.1789461076259613,0.9010883569717407,0.5362915992736816,0.6739756464958191,0.1476992964744568,0.9286999702453613,0.5728999972343445,0.6909000277519226
8,0.1732630580663681,0.9055497646331787,0.5561179518699646,0.6879401206970215,0.15624000132083893,0.900600016117096,0.559499979019165,0.6937000155448914
9,0.1747433990240097,0.8941461443901062,0.5614796876907349,0.6842789649963379,0.1434202343225479,0.9225000143051147,0.5928999781608582,0.7089999914169312
10,0.16581599414348602,0.9103112816810608,0.5885883569717407,0.7040252685546875,0.12117012590169907,0.9466999769210815,0.6507999897003174,0.7646999955177307
11,0.14400333166122437,0.930837869644165,0.6505882143974304,0.759122908115387,0.10561475902795792,0.9466000199317932,0.6977999806404114,0.7890999913215637
12,0.13386400043964386,0.9356594085693359,0.6812379956245422,0.7783490419387817,0.09685619175434113,0.9501000046730042,0.7186999917030334,0.8057000041007996
13,0.1273406594991684,0.9423015117645264,0.7042453289031982,0.7986755967140198,0.09042060375213623,0.9577999711036682,0.7408000230789185,0.8190000057220459
14,0.1194162368774414,0.9479233622550964,0.7284131050109863,0.8139804601669312,0.08299426734447479,0.9623000025749207,0.7608000040054321,0.8331000208854675
15,0.11597383767366409,0.9476032257080078,0.7458786964416504,0.82274329662323,0.08267993479967117,0.9645000100135803,0.7688000202178955,0.8345999717712402
16,0.10963434725999832,0.9546054601669312,0.765885055065155,0.8393085598945618,0.08020125329494476,0.9646000266075134,0.776199996471405,0.8398000001907349
17,0.10508055239915848,0.9561859965324402,0.7799095511436462,0.8482914566993713,0.07417940348386765,0.967199981212616,0.7924000024795532,0.8489000201225281
18,0.1010415330529213,0.9597471356391907,0.7945342659950256,0.8579545617103577,0.07518170773983002,0.9664000272750854,0.795199990272522,0.8468000292778015
19,0.09721662849187851,0.961427628993988,0.8073383569717407,0.86629718542099,0.06780368834733963,0.968500018119812,0.8090999722480774,0.8608999848365784
20,0.09409408271312714,0.9633482694625854,0.8159611225128174,0.8746799230575562,0.06767602264881134,0.970300018787384,0.814300000667572,0.8636999726295471
21,0.09154366701841354,0.9643486142158508,0.8260043263435364,0.8818022012710571,0.06317983567714691,0.9714000225067139,0.8210999965667725,0.8726999759674072
22,0.08987916260957718,0.9651488661766052,0.8306857943534851,0.8845230340957642,0.061296358704566956,0.9739999771118164,0.8270999789237976,0.878000020980835
23,0.0865010991692543,0.9681698083877563,0.8436699509620667,0.8931058049201965,0.05947284400463104,0.9732000231742859,0.8313999772071838,0.8794000148773193
24,0.08479242771863937,0.9689100384712219,0.8504521250724792,0.899287760257721,0.06316906213760376,0.9721999764442444,0.8306999802589417,0.8747000098228455
25,0.08209769427776337,0.9715909361839294,0.859575092792511,0.9063100218772888,0.0597090870141983,0.9750999808311462,0.8370000123977661,0.8787000179290771
26,0.0797603651881218,0.9715508818626404,0.8651768565177917,0.9105913639068604,0.061223119497299194,0.9746999740600586,0.8324000239372253,0.8752999901771545
