Epoch,Coarse_Accuracy,Coarse_LossWeight,Medium_Accuracy,Medium_LossWeight,Fine_Accuracy,Fine_LossWeight
0,0.1776776760816574,0.40936443481865376,0.06306306272745132,0.3451228926235024,0.016683349385857582,0.2455126725578438
1,0.240573912858963,0.40015088215654154,0.11011011153459549,0.34695241737276833,0.043043043464422226,0.2528967004706901
2,0.29996663331985474,0.3912078767689447,0.146646648645401,0.35286869119440467,0.08692025393247604,0.2559234320366507
3,0.3605271875858307,0.3907150002154216,0.21988655626773834,0.352688371483313,0.16266267001628876,0.2565966283012655
4,0.4673006236553192,0.38059219894389984,0.331331342458725,0.35349562205096663,0.2579245865345001,0.26591217900513353
5,0.575575590133667,0.37337730616460146,0.4669669568538666,0.3469741138778376,0.3661995232105255,0.2796485799575611
6,0.6908575296401978,0.36170671366724033,0.6161161065101624,0.33234807398146454,0.47864532470703125,0.30594521235129524
7,0.7747747898101807,0.36117930688017247,0.7315648794174194,0.3185228360206348,0.601768434047699,0.32029785709919284
8,0.8495161533355713,0.35485127550199613,0.8256589770317078,0.30419456833359426,0.7117117047309875,0.34095415616440955
9,0.8813813924789429,0.3996182036687522,0.8905572295188904,0.27281917973451836,0.8061394691467285,0.32756261659672936
10,0.9090757369995117,0.42263278132755144,0.9187520742416382,0.2794415948963105,0.8722055554389954,0.297925623776138
11,0.9329329133033752,0.42416285507059925,0.9434434175491333,0.2646681788939717,0.90190190076828,0.3111689660354291
12,0.9472805857658386,0.42905381478725463,0.9521188139915466,0.2883377262609477,0.9307640790939331,0.2826084589517977
13,0.9542876482009888,0.4375329362331001,0.9581248164176941,0.29657141433738715,0.9446112513542175,0.26589564942951277
14,0.955955982208252,0.4531646915023649,0.9606273174285889,0.299750225859595,0.9521188139915466,0.24708508263804005
15,0.9582916498184204,0.4550449409709504,0.9624624848365784,0.30303457214505086,0.9557891488075256,0.24192048688399875
16,0.9536203145980835,0.4812111468381564,0.96329665184021,0.2817792068595927,0.9544544816017151,0.2370096463022508
17,0.958625316619873,0.45843133888459664,0.9637971520423889,0.29680945431653644,0.955955982208252,0.24475920679886684
18,0.9597931504249573,0.48142765257402964,0.9668001532554626,0.29414565964920963,0.9626293182373047,0.22442668777676075
19,0.9611278176307678,0.46880411626197566,0.9654654860496521,0.30817770690321056,0.9631298184394836,0.2230181768348138
20,0.9634634852409363,0.4467157986472918,0.9649649858474731,0.3169581115131766,0.9614614844322205,0.23632608983953166
21,0.9666333198547363,0.47088323407853405,0.970136821269989,0.3118398705435567,0.9693026542663574,0.2172768953779093
22,0.9716383218765259,0.44987915284093244,0.9728061556816101,0.31917578141002007,0.9709709882736206,0.23094506574904758
23,0.9696363210678101,0.43058149670028645,0.9688021540641785,0.327356493587349,0.965965986251831,0.2420620097123646
24,0.9657991528511047,0.46016192362486535,0.9696363210678101,0.30228986413704434,0.9647981524467468,0.23754821223809028
25,0.9683016538619995,0.4478352561716909,0.970136821269989,0.31218576005020543,0.9661328196525574,0.23997898377810373
26,0.9676343202590942,0.4684799186578546,0.9719719886779785,0.3001884027632405,0.9681348204612732,0.23133167857890485
27,0.9699699878692627,0.4427487891802979,0.9709709882736206,0.3166864662341223,0.9674674868583679,0.24056474458557983
28,0.9673006534576416,0.4719300468888607,0.9714714884757996,0.30465832258641634,0.9691358208656311,0.22341163052472285
29,0.9711378216743469,0.42352147583352917,0.9696363210678101,0.3296826563790843,0.96646648645401,0.24679586778738657
30,0.9673006534576416,0.4682128805135639,0.9719719886779785,0.2969558914889211,0.9673006534576416,0.234831227997515
31,0.9666333198547363,0.461642905634759,0.9698031544685364,0.3091363847500625,0.966966986656189,0.2292207096151785
32,0.970136821269989,0.4597261537482905,0.9724724888801575,0.3135634998886804,0.970637321472168,0.2267103463630292
33,0.9671338200569153,0.47176358069084146,0.9716383218765259,0.3012329569465966,0.9684684872627258,0.227003462362562
34,0.9691358208656311,0.4687732896109704,0.9729729890823364,0.3037396741219572,0.970136821269989,0.22748703626707253
35,0.9716383218765259,0.42981041689497,0.970637321472168,0.3292577923196142,0.9683016538619995,0.24093179078541568
36,0.973807156085968,0.43069592838579274,0.9748081564903259,0.30650914711827554,0.9681348204612732,0.2627949244959318
37,0.9683016538619995,0.45941818508481685,0.9713046550750732,0.3077360722252998,0.9679679870605469,0.23284574268988337
38,0.966966986656189,0.43841645244215943,0.9674674868583679,0.31948586118251926,0.9636303186416626,0.24209768637532136
39,0.9726393222808838,0.45087157837396163,0.9746413230895996,0.30920604657496936,0.9709709882736206,0.23992237505106903
40,0.9709709882736206,0.4382153884539813,0.9713046550750732,0.32052521598103734,0.9681348204612732,0.24125939556498147
41,0.9711378216743469,0.4471464694961911,0.9728061556816101,0.3117358043659177,0.9689689874649048,0.24111772613789131
42,0.974307656288147,0.42259887005649727,0.9731398224830627,0.32691049658043414,0.9696363210678101,0.2504906333630687
43,0.9741408228874207,0.4541825802179061,0.9756423234939575,0.31655341963694417,0.9739739894866943,0.22926400014514972
44,0.970136821269989,0.45300123010867266,0.9726393222808838,0.30710407346177654,0.9684684872627258,0.2398946964295508
45,0.9734734892845154,0.4330452379948565,0.9733066558837891,0.32244192419579243,0.970136821269989,0.24451283780935115
46,0.970637321472168,0.4620098338006421,0.973807156085968,0.3049534723068796,0.9704704880714417,0.23303669389247836
47,0.9744744896888733,0.42924520107704334,0.973807156085968,0.3259185268826543,0.9709709882736206,0.24483627204030223
48,0.9716383218765259,0.4663784536721677,0.9751418232917786,0.30246226759642253,0.9719719886779785,0.23115927873140982
49,0.9734734892845154,0.43728553791136276,0.9726393222808838,0.3337391970709694,0.9723056554794312,0.22897526501766782
50,0.9741408228874207,0.434512805825327,0.974307656288147,0.3194382968382499,0.9708041548728943,0.246048897336423
51,0.9708041548728943,0.43747629772380753,0.970637321472168,0.32555511698282596,0.9684684872627258,0.23696858529336645
52,0.9736403226852417,0.4416616183470359,0.9746413230895996,0.31439203807875377,0.9709709882736206,0.24394634357421027
53,0.974307656288147,0.43931993817619786,0.9754754900932312,0.31029366306027817,0.9708041548728943,0.250386398763524
54,0.9744744896888733,0.4349842884931917,0.9746413230895996,0.3197577699342493,0.9713046550750732,0.24525794157255898
55,0.9751418232917786,0.4386067239603744,0.9746413230895996,0.3310762164280442,0.9739739894866943,0.2303170596115815
56,0.9726393222808838,0.4386660814693973,0.9724724888801575,0.3265649196319882,0.9708041548728943,0.23476899889861458
57,0.9719719886779785,0.46628972107171707,0.9756423234939575,0.29984360767869106,0.9719719886779785,0.23386667124959182
58,0.9723056554794312,0.4573392812971793,0.9744744896888733,0.31190132976228047,0.9721388220787048,0.23075938894054027
59,0.9746413230895996,0.4246728195901704,0.9734734892845154,0.3287027826553296,0.970637321472168,0.2466243977545001
60,0.973807156085968,0.4366744166020839,0.9751418232917786,0.30664772238009125,0.9693026542663574,0.2566778610178248
61,0.9768101572990417,0.4484274028425605,0.9789789915084839,0.30077606096623083,0.9741408228874207,0.2507965361912086
62,0.9731398224830627,0.45129348873133096,0.9749749898910522,0.31111419670054064,0.9718051552772522,0.23759231456812832
63,0.9728061556816101,0.4594273846610296,0.9756423234939575,0.30449313681859036,0.9721388220787048,0.2360794785203801
64,0.9744744896888733,0.4259634363929424,0.9736403226852417,0.32548678210951837,0.9703036546707153,0.24854978149753912
65,0.9776443243026733,0.4366538205443797,0.9776443243026733,0.32309678981457196,0.9754754900932312,0.24024938964104842
66,0.9694694876670837,0.46338920334279304,0.9731398224830627,0.3016588532275513,0.9691358208656311,0.2349519434296555
67,0.9736403226852417,0.4374892843671776,0.9733066558837891,0.3278126393032267,0.9718051552772522,0.2346980763295957
68,0.977977991104126,0.42730006013229105,0.977977991104126,0.3161755862898376,0.9736403226852417,0.2565243535778713
69,0.9746413230895996,0.4190508706043018,0.9739739894866943,0.3182314783202458,0.9683016538619995,0.2627176510754523
70,0.9733066558837891,0.446040185044535,0.974307656288147,0.31766553890768484,0.9718051552772522,0.23629427604778014
71,0.9741408228874207,0.4435712513732856,0.9741408228874207,0.32821526030407194,0.9734734892845154,0.22821348832264238
72,0.9704704880714417,0.4533854621009057,0.9728061556816101,0.30894225126488917,0.9691358208656311,0.23767228663420512
73,0.9719719886779785,0.46328802677412745,0.9733066558837891,0.3264804316645038,0.9746413230895996,0.21023154156136875
74,0.9761428236961365,0.4371060849815463,0.977477490901947,0.3053373710608498,0.9719719886779785,0.25755654395760386
75,0.9748081564903259,0.42981273408239706,0.9756423234939575,0.30750385547477416,0.9693026542663574,0.26268341044282884
76,0.9761428236961365,0.4145708797817151,0.973807156085968,0.3367889134220116,0.9714714884757996,0.24864020679627338
77,0.9741408228874207,0.4115664433392248,0.9719719886779785,0.3300752188745941,0.9676343202590942,0.2583583377861811
78,0.9723056554794312,0.4448445226164006,0.9733066558837891,0.3172601466830385,0.9704704880714417,0.23789533070056082
79,0.9756423234939575,0.4508326800634787,0.9769769906997681,0.31530945871015853,0.9748081564903259,0.23385786122636276
80,0.9704704880714417,0.4429285299244625,0.9719719886779785,0.3110749564206856,0.9673006534576416,0.2459965136548518
81,0.9754754900932312,0.4420949720670392,0.9754754900932312,0.327122905027933,0.9744744896888733,0.23078212290502795
82,0.9709709882736206,0.45410620212662806,0.9733066558837891,0.30897514624608124,0.9698031544685364,0.23691865162729062
83,0.9753086566925049,0.43394667804395387,0.9758091568946838,0.31458501647588527,0.9714714884757996,0.25146830548016086
